iter	Passed	Remaining
0	143	143607
1	147	73496
2	150	50047
3	153	38301
4	157	31327
5	160	26613
6	164	23406
7	168	20866
8	171	18866
9	174	17312
10	178	16046
11	181	14935
12	184	14009
13	188	13286
14	191	12575
15	195	12000
16	198	11477
17	201	10996
18	204	10565
19	208	10207
20	211	9839
21	214	9514
22	217	9232
23	220	8971
24	223	8732
25	227	8510
26	230	8308
27	234	8132
28	236	7918
29	240	7786
30	243	7619
31	247	7476
32	250	7335
33	253	7196
34	256	7081
35	260	6965
36	263	6854
37	267	6760
38	270	6659
39	273	6557
40	275	6454
41	279	6380
42	282	6287
43	285	6198
44	288	6124
45	292	6061
46	295	5994
47	298	5925
48	302	5862
49	305	5796
50	307	5731
51	311	5686
52	314	5616
53	317	5562
54	319	5496
55	323	5449
56	326	5404
57	329	5356
58	333	5315
59	335	5263
60	339	5220
61	342	5180
62	344	5126
63	347	5077
64	349	5032
65	352	4989
66	354	4940
67	356	4883
68	359	4845
69	361	4804
70	364	4766
71	367	4733
72	370	4706
73	373	4674
74	376	4647
75	379	4614
76	382	4590
77	385	4560
78	389	4536
79	393	4520
80	395	4485
81	398	4461
82	400	4428
83	403	4396
84	405	4360
85	407	4330
86	409	4293
87	412	4273
88	415	4249
89	417	4221
90	419	4192
91	422	4165
92	425	4145
93	428	4127
94	431	4107
95	433	4084
96	437	4071
97	440	4054
98	443	4037
99	447	4023
100	450	4005
101	451	3977
102	454	3961
103	458	3950
104	461	3931
105	464	3919
106	467	3904
107	470	3887
108	473	3874
109	476	3855
110	479	3838
111	482	3823
112	484	3806
113	487	3789
114	489	3769
115	492	3749
116	495	3735
117	497	3719
118	499	3701
119	502	3684
120	504	3667
121	507	3648
122	508	3624
123	510	3608
124	514	3598
125	517	3587
126	520	3577
127	522	3560
128	525	3549
129	528	3537
130	531	3529
131	534	3514
132	537	3501
133	540	3489
134	542	3479
135	545	3467
136	548	3455
137	550	3440
138	553	3429
139	556	3416
140	558	3403
141	561	3392
142	564	3380
143	566	3368
144	569	3358
145	572	3346
146	574	3333
147	576	3320
148	579	3311
149	582	3300
150	584	3288
151	587	3276
152	589	3264
153	592	3252
154	594	3239
155	596	3228
156	599	3217
157	601	3205
158	603	3193
159	606	3181
160	608	3170
161	610	3158
162	613	3147
163	615	3136
164	617	3125
165	619	3114
166	622	3103
167	624	3092
168	627	3085
169	629	3075
170	632	3067
171	635	3058
172	637	3049
173	640	3040
174	643	3032
175	645	3023
176	648	3015
177	651	3006
178	653	2998
179	656	2990
180	657	2975
181	660	2966
182	662	2958
183	665	2950
184	668	2943
185	670	2935
186	673	2927
187	675	2919
188	678	2910
189	681	2903
190	683	2897
191	686	2889
192	689	2883
193	692	2875
194	694	2867
195	697	2860
196	699	2851
197	701	2842
198	703	2833
199	706	2824
200	708	2816
201	710	2808
202	713	2800
203	715	2792
204	717	2783
205	719	2775
206	722	2766
207	724	2758
208	726	2750
209	729	2742
210	731	2735
211	734	2729
212	736	2722
213	739	2716
214	742	2710
215	744	2704
216	747	2697
217	750	2690
218	752	2684
219	755	2679
220	758	2673
221	761	2668
222	763	2661
223	766	2655
224	769	2649
225	771	2642
226	774	2636
227	776	2629
228	779	2622
229	781	2617
230	784	2610
231	786	2604
232	789	2598
233	791	2591
234	794	2586
235	797	2580
236	799	2573
237	801	2566
238	804	2560
239	806	2552
240	808	2545
241	810	2538
242	812	2532
243	815	2525
244	817	2518
245	819	2512
246	821	2505
247	823	2498
248	827	2495
249	830	2490
250	832	2484
251	835	2480
252	838	2476
253	842	2473
254	845	2470
255	848	2467
256	852	2464
257	855	2461
258	859	2457
259	862	2453
260	864	2448
261	868	2446
262	871	2441
263	874	2438
264	878	2436
265	880	2430
266	883	2424
267	887	2423
268	891	2421
269	893	2416
270	897	2413
271	899	2408
272	903	2406
273	906	2401
274	908	2396
275	911	2392
276	915	2389
277	918	2386
278	922	2382
279	925	2378
280	928	2374
281	930	2369
282	933	2364
283	935	2358
284	938	2354
285	941	2350
286	944	2346
287	947	2341
288	950	2338
289	953	2335
290	956	2331
291	959	2327
292	963	2324
293	966	2319
294	968	2314
295	971	2311
296	974	2306
297	977	2302
298	980	2297
299	983	2293
300	985	2289
301	988	2283
302	990	2278
303	992	2272
304	995	2267
305	998	2264
306	1001	2259
307	1003	2254
308	1006	2249
309	1008	2245
310	1011	2240
311	1013	2235
312	1016	2230
313	1018	2225
314	1021	2221
315	1023	2216
316	1026	2211
317	1028	2206
318	1031	2202
319	1034	2197
320	1037	2193
321	1039	2189
322	1042	2185
323	1045	2181
324	1048	2177
325	1051	2174
326	1054	2169
327	1057	2166
328	1060	2162
329	1063	2158
330	1065	2154
331	1067	2148
332	1070	2144
333	1073	2140
334	1076	2136
335	1079	2132
336	1081	2128
337	1085	2125
338	1088	2121
339	1090	2117
340	1093	2112
341	1096	2108
342	1098	2104
343	1101	2100
344	1103	2095
345	1106	2091
346	1109	2087
347	1111	2083
